Titulo,Link,Publicación,Tiempo Restante,Tipo de trabajo,Ubicación,Presupuesto,Experiencia Requerida,Cliente,Pais,Contenido,Mensaje
"Desarrollador de aplicaciones móviles
                ",http://www.nubelo.com/proyecto/desarrollador-de-aplicaciones-moviles-23,"14 días
                      ","15 días
                      ","proyecto freelance
           ","España, Oviedo
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",Autoescuela Moving ,España                ,"
              Mejorar el aprendizaje de la conducción mediante una app capaz realizar un seguimiento de los alumnos durante su formación práctica.Se quiere diseñar una app para el uso del profesor de f. Vial en el desarrollo de su profesión, con el objetivo de prolongar el aprendizaje del alumno más allá de las clases prácticas. Presentando esto un añadido en su inversión, rentabilizandola más y haciendo más interactiva la parte práctica de la formación.Se trata de una app para dos tipos de usuarios:App del profesorApp del alumnoCada una tiene funcionalidades diferentes.Inicialmente, se centrará únicamente en el permiso de conducción tipo B.            ",""
"Creación de gestor de catálogo de productos
                ",http://www.nubelo.com/proyecto/creacion-de-gestor-de-catalogo-de-productos,"14 días
                      ","15 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Senior (6-10 años)
                     ",JR **** ,España                ,"
              El proyecto esta compuesto por tres puntos principales:- Creación de base de datos con integración de catálogos de diferentes proveedores mediante archivos CSV o XML.- Gestor de explotación de los productos importados, mediante interface WEB para usuario.- Exportación del resultado de la unificación de catálogo de productos a nuestra tienda online o markets mediante API.            ",""
"Rom de Android personalizado
                ",http://www.nubelo.com/proyecto/rom-de-android-personalizado,"14 días
                      ","15 días
                      ","proyecto freelance
           ","Mexico, Benito Juarez
        ","sin especificar
              ","Intermedio (3-5 años)
                  ",Privada ,Mexico                ,"
              Necesito crear un ROM de Android para mi empresa, donde los empleados no puedan instalar, desinstalar, apagar, encender, etc.. aplicaciones como GPS o APPS administrativas...Necesito que todo se manipule desde una consola en web, un administrador donde pueda ver por GPS los grupos de vendedores donde están, crear geo-cercas, alertas, reglas.etc...De hecho ya hay un API para eso que puedo proveer....Además necesito limitar los datos que utilizan, para que no puedan utilizar Facebook o redes, ni Youtube.. solo las apps que desde la consola habilitamos.. de hecho que podamos instalar remotamente..Esta es la idea General...            ",""
"proyecto web
                ",http://www.nubelo.com/proyecto/proyecto-web-24,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",N&N ,Colombia                ,"
              una pagina web de la cual ya tengo el dominio que se pueda administrar con wordpress que reciba un listado de datos personales nombres apellidos  edad no menor de 18 años todas las casillas obligatorias numero de identificacion ciudad de residencia direccion telefono numero de celular correo electronico imagen de el documento de propiedad de el activo y fotografia del activo que quiere registrar estos datos deben quedar publicos menos los de la imagen y los docuemntos adicional a estoy al llenar el formulario debe generarse una pantalla donde se ofresca un carnet con un codigo QR con  una url donde va dejar ver la imagen y el documento que ha registrado anteriormente            ",""
"Web e-commerce: buscamos Desarrollador front-end/full stack
                ",http://www.nubelo.com/proyecto/web-e-commerce-buscamos-desarrollador-front-end-full-stack,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Pup**** ,España                ,"
              Estamos rediseñando nuestra web y buscamos un desarrollador full stack para el desarrollo del sitio. Hemos trabajado en el pasado con modificaciones de plantillas para wordpress+woocommerce, pero en este caso queremos desarrollar el prototipo en el que estamos trabajando en invision, para wordpress+woocommerce, a ser posible.Nuestra intención es la de encontrar también un desarrollador para futuros proyectos, somos un equipo de diseñadores freelance, y queremos abarcar proyectos de una complejidad mayor con la que estamos trabajando actualmente. Por el momento podemos ofrecer referencias de lo que estamos buscando, si es necesario, y un listado de características del sitio:- Ecommerce- Responsive- Secciones (home, about, proyectos, proyecto en detalle, tienda (general, carro, checkout, producto), contacto- Sin pasarela TPV, sólo integración paypalQuedamos atentos a rangos de presupuesto, y portafolios de candidatos. Muchas gracias.             ",""
"Odoo / ERP. Crear Web empresa NetworkMarketing
                ",http://www.nubelo.com/proyecto/odoo-erp-crear-web-empresa-networkmarketing,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Zar**** ,España                ,"
              Diseño web portal de empresa multinivel desarrollado en Odoo.Necesitamos un experto en Odoo para que desarrolle el portal con todas las funcionalidades propias de un negocio multinivel:La aplicación? tiene que gestionar las siguientes áreas:Compras. Hacer pedidos. Pago a proveedores. Gestión del artículo (ficha de artículos). Gestión de distintos precios (PVP, precio a distribuidor)Inventario. Gestión de stock. Logística y distribución. Opciones de envíoVentas. Tienda OnlinePlan de compensación. Ejecutar.  Pagar comisiones. Básicamente consiste en unilevel con 5 generaciones, anchura infinita y pago de bonos.Finanzas (contabilidad, pagos, cobros, albaranes, facturación, obligaciones tributarias). Debe cumplir la legislación tributaria y plan general contable españolWeb red de ventas. Sitios web auto replicado automáticos para los afiliados o miembros, personalizado, con Url amigable Pantallas específicas para la red de ventas. Web personalizada. Cuadro de Mando Visual de su actividad, hitos ...Política de ofertas (comercial)Programa de fidelización (puntos)Área de formación. Gamificación en aprendizaje. Medallas. Vídeoeoteca. Plataforma de formación.Tienda (ecommerce). Comunicación con FacebookCuadro de Mando. Proporcionar información: Ventas. Regiones. Red Ventas. Visual.Gerencia. MarketingOtrasDescargar: Catálogos. Revistas. Archivo. Pdf.Programar e inscribirse: Actividades. Eventos. Calendarzado.BlogComunicación:Mensajes a la Red VentasAutorespondedoresDiseño de la web (Tema). Minimalista y elegante.Se requiere presentación de ERP realizada anteriormente.El profesional tendrá que tener experiencia previa en desarrollo e implantación de ERP Open Source (preferible Odoo), manejo de MySQL y Python.El lenguaje de comunicación durante el desarrollo será en español.Plazo previsto +- 8/10 semanas (por lo menos para prototipo mínimo viable y publicable).            ",""
"programador ios android
                ",http://www.nubelo.com/proyecto/programador-ios-android-5,"14 días
                      ","15 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Intermedio (3-5 años)
                  ",Invent Group ,Argentina                ,"
              Estamos en la busqueda de un programador que este especializado en android e ios, que tenga al menos tres años de experiencia en programacion y que este radicado en buenos aires                                             ",""
"Programador PHP
                ",http://www.nubelo.com/proyecto/programador-php-890,"14 días
                      ","15 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","1.877,33 €
                   ","Intermedio (3-5 años)
                  ",Service Asign ,Argentina                ,"
              Estamos en la busqueda de un programador php modalidad freelance.que este ubicado en la ciudad de buenos aires (caba) y que tenga las habilidades intermedias para ser programador. de tres a cinco años de experiencia             ",""
"Formadores en SAP Business One
                ",http://www.nubelo.com/proyecto/formadores-en-sap-business-one,"14 días
                      ","15 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ",2M&L Formacion ,España                ,"
              Formación específica a nivel de usuario en SAP para módulo de Finanzas   de acuerdo a temario preparado valorado en 20-25 horas. La formación se impartirá en los meses de Setiembre-Octubre en Barcelona            ",""
"se busca dibujante
                ",http://www.nubelo.com/proyecto/se-busca-dibujante-43,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","148,19 €
                     ","Experto (+10 años)
                     ",aoi**** ,España                ,"
                busco a un dibujante para la realizasion de 30 personajes en estilo anime como el que he dejado en la descripción, en 5 vistas (frente, espalda, 3/4, lado derecho, y lado izquierdo) 6 expresiones, y 1 (un) cambio de ropa por personaje. también todos los personajes deben  estar divididos por partes, es decir cabeza, cuello, manos, pies, hombro etc devén de estar por separado. y deben de venir todos los personajes con 3 fondos 1 transparente, 1 blanco y 1 (escala Métrica) otra aclaración: yo poseo varios bocetos de los personajes echos a lápiz.El plazo para hacer los 30 personajes con todo es de 1 a 2 meses.espero que el freelancer sea bueno dibujando y coloreando digitalmente.Habilidades:1- que sepa dibujar y vectorizar muy buen.2- que sepa colorear muy buen.3- que sepa aplicar luces y sombras bien.4- que sepa hacer personajes anime.5- que sea rápido y bien echo.6- que tenga mas o menos el horario de mexico.también busco que todo este por capas es decircapa 1: personaje desnudo/a.capa 2: ropa/s.capa 3: pelo.capa 4: accesorios.capas separadas: y también como lo he explicado antes que todos los personajes estén por capas es decir cabello, cuello, manos torso etc por separado.y si el freelancer hace bien el trabajo se le contratara para mas trabajos a futuro.             ",""
"Buscamos traductores de español a portugues (Brasil) para blog de maternidad y niños
                ",http://www.nubelo.com/proyecto/buscamos-traductores-de-espanol-a-portugues-brasil-para-blog-de-maternidad-y-ninos,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Mejor Contigo  ,España                ,"
              Buscamos traductores brasileños que puedan traducir 30 artículos como mínimo al mes de Español a Portugués para nuestro nuevo blog Portugués sobre maternidad e hijos. Preferimos que sean brasileños nativos interesados en una periodo continuo de trabajo.Los artículos son sobre maternidad e hijos. Nuestra versión española es: http://eresmama.com/Cada artículo tiene entre 400 y 1200 palabras.  (palabras son contadas en Italiano)Si esta interesado, por favor, contacte conmigo. Traducción del: RusoTraducción al: PortuguesCantidad de palabras: Más de 1000Tipo de documento a traducir: Contenido Web            ",""
"programador web
                ",http://www.nubelo.com/proyecto/programador-web-759,"14 días
                      ","15 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Intermedio (3-5 años)
                  ",Ou2 Kosmos ,Argentina                ,"
              buscamos un programador web con expreciencia intermedia ,que sea de modalidad freelance radicado en la ciudad autonoma de buenos aires, que tenga una expreciencia de al menos 3 años y que sea muy preciso             ",""
"Diseño de piezas gráficas para RRSS - Trans media. 
                ",http://www.nubelo.com/proyecto/diseno-de-piezas-graficas-para-rrss-trans-media,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Joaquín ,Argentina                ,"
              Somos una PyMe de Marketing de contenidos en plena etapa de crecimiento en búsqueda de incorporar un diseñador/a gráfico/a para que realice un número de piezas gráficas por mes (15). Es indispensable que posea disponibilidad para contactarse via medios digitales, buena predisposición y proactividad.Requisito Excluyente: Poseer portfolio.Duración del proyecto: Larga duración            ",""
"acuerdo de socios y documento por utilidades para 5 personas
                ",http://www.nubelo.com/proyecto/acuerdo-de-socios-y-documento-por-utilidades-para-5-personas,"14 días
                      ","15 días
                      ","proyecto freelance
           ","Colombia, Cali
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",SiliconValle SAS ,Colombia                ,"
              Constituimos una empresa S.A.S, la cual está compuesta por dos socios, y requerimos un acuerdo de socios para dejar toda nuestra participación en claro, ya que el representante legal es la esposa de uno de nosotros.Adicionalmente, tenemos un equipo de trabajo de 4 personas, las cuales trabajarán por proyectos con nosotros y la idea es que cada uno tiene asignados proyectos y el objetivo es que puedan ganar por utilidades de la comercialización de los proyectos que desarrollen.  Estos documentos deben estar acordes a la legislación colombiana.             ",""
" Ingeniero informático
                ",http://www.nubelo.com/proyecto/ingeniero-informatico-25,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Grupo Ac ,España                ,"
              Necesitamos un Ingeniero informático experto en ingeniería inversa, bbdd y programación web. Con amplios conocimientos de estadísticaTareasTareasEl Ingeniero informático experto en ingeniería inversa desarrollará una herramienta de planificación de medios multicanal, Ya esta creada , pero se ha cambiado y necesitamos actualizarla.            ",""
"Traductores de artículos de inglés a danés
                ",http://www.nubelo.com/proyecto/traductores-de-articulos-de-ingles-a-danes,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Grupo m contigo S.L ,España                ,"
              Actualmente estamos buscando nativos daneses que hablen inglés para la traducción de nuestros artículos de salud.Pagamos 1,2 euros por cada 100 palabras. (las palabras las contamos en idioma de danés)Los artículos sean de 700 palabras como mínimo, con tres imágenes y unos enlaces. Trabajamos en Wordpress, proveemos a nuestros traductores de temas.Si está usted interesado por favor contacte conmigo. Traducción del: RusoTraducción al: DanésCantidad de palabras: Más de 1000Tipo de documento a traducir: Blog            ",""
"Desarrollo de herramienta openCV para detección de piezas y sus características
                ",http://www.nubelo.com/proyecto/desarrollo-de-herramienta-opencv-para-deteccion-de-piezas-y-sus-caracteristicas-2,"14 días
                      ","15 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ",ON-LASER ,España                ,"
              Estamos buscando un/a freelance especializado/a en visión artificial y procesado de imagen, para desarrollo en OpenCV 3, Python y Java de un detector de presencia (o no) de una pieza cilíndrica colocada en una posición concreta de una máquina, y una vez detectada determinar algunas de sus características (posición del chaflán, medidas, centro de las caras planas, defectos superficiales, etc.).En caso de estar interesado/a en este proyecto, mándanos referencias de proyectos que hayas realizado con openCV 3 para poder valorar tu experiencia entre los distintos candidatos. Facilitanos también tu disponibilidad actual y precio horario para pequeños proyectos de este estilo.Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: DesarrolladorCompatibilidad con: Windows, Linux / UnixEstado del proyecto: Tengo las especificacionesLenguajes de programación requeridos: Pithon, JavaPreferencia de frameworks: openCV 3            ",""
"Diseñador Eplan
                ",http://www.nubelo.com/proyecto/disenador-eplan,"14 días
                      ","15 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Diego ,España                ,"
              Busco un ingeniero que sepa manejar la herramienta Eplan para un proyecto de formación online.No importa si te encuentras en cualquier otro país no comunitario, las clases se llevarían a cabo en remoto.            ",""
"crear modelado y 2d de un control fixture
                ",http://www.nubelo.com/proyecto/crear-modelado-y-2d-de-un-control-fixture,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",DIS**** ,Mexico                ,"
              desarrollo del modelo 3d en cualquier software CAD y en base a un producto,conceptualizar bocetos de los dispositivos o gages  necesarios,.la conceptualizacion de un bosquejo es INDISPENSABLE  para el diseño y posteriormente la correcta fabricacion.el diseñador debe tener experiencia diseñando control fixturesal diseñador se le entrega el modelo 3d de la pieza o prodcuto y a partir de ahi, él debe crear el diseño del fixture.SIEMPRE DEBE PENSAR EN LA FACTIBILIDAD DE LA MANUFACTURA.. evitando  procesos de maquinado innecesarios oque requieran maquinaria especializada, al menos que sea necesariose requiere 3d y posterior el 2d. el 2D debe tener detalle de tolerancias geometricas, ajustes dimensionales de los datums.el diseñador entrega el 3d para la revision, una vez que lo validamos, continua con el trabajo en 2d (dibujos de taller)los dibujos de taller 3d se reciben en formato  (preferentemente solid works) .sldasm, en igs y en paraolid x_t ,los dibujos2d se rerciben en dwg, en formato original del programa y tambien en pdf            ",""
"elaborar web empresa consultoria/ Perfil residencia en Madrid
                ",http://www.nubelo.com/proyecto/elaborar-web-empresa-consultoria,"15 días
                      ","14 días
                      ","proyecto freelance
           ","España, Madrid
               ","1.800,00 €
                   ","Intermedio (3-5 años)
                  ",MHE Consumer Solutions SL ,España                ,"
              Elaborar nueva web para empresa consultoria pequeña especializada en retail. Wordpress. Facilitar posteriores cambios en la web. Optimizar SEO. Contenido en español e inglés. Necesario residencia en zona de madrid            ",""
"Videos de producto
                ",http://www.nubelo.com/proyecto/videos-de-producto,"15 días
                      ","14 días
                      ","proyecto freelance
           ","España, Leganés
              ","sin especificar
              ","Senior (6-10 años)
                     ","EDIBON International, S.A. ",España                ,"
              Buscamos a un experto en realización y edición de videos de producto. Fabricamos equipos didácticos técnicos para uso educativo y necesitamos realizar videos de carácter comercial de dichos equipos. Valoraremos experiencia en el sector tecnológico.             ",""
"Programador Senior .NET y T-Sql
                ",http://www.nubelo.com/proyecto/programador-senior-net-y-t-sql,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","","PROES CONSULTORES, S.A. ",España                ,"
              PERFIL	Necesitamos un programador Senior .NET con al menos 4 años de experiencia en desarrollo de aplicaciones .NET, preferiblemente VB.NET, tanto para proyectos MVC como Web Forms y Windows Forms.	Además se requiere que tenga amplios conocimientos y experiencia en la administración de SQL Server, tanto en el diseño de los modelos de datos como en la programación con T-SQL.	Se valorara nivel medio-alto de inglés.            ",""
"Crear base de datos online con campos inteligentes
                ",http://www.nubelo.com/proyecto/crear-base-de-datos-online-con-campos-inteligentes,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Ferbarrita@yahoo.com ,Mexico                ,"
              Se requiere crear una base de datos online (si puede incluso sugerirse un sitio donde hospedarla sera mucho mejor) para administrar una oficina legal. Los campos de la base de datos estan previamente definidos y requiere de 3 niveles de usuarios y un administrador. Seran 10 campos, con formatos predefinidos y alertas. Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: Diseñador, DesarrolladorEstado del proyecto: Tengo la idea            ",""
"Crear etiquetas para botellas aceite esenciales
                ",http://www.nubelo.com/proyecto/crear-etiquetas-para-botellas-aceite-esenciales,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",FYB**** ,España                ,"
                recién empiezo con un proyecto de aceites esenciales y necesito crear etiquetas para botellas que a principio seran de color azul con tapa blanca,...,y quiero utilizar colores kraft en la etiqueta y embalaje,..,algo sencillo, elegante y bonito. Primero quiero ver un presupuesto,..,porque dependiendo quiero añadir una corrección en un logo que tengo,gracias            ",""
"Poner en marcha pagina web con plantilla de woocommerce
                ",http://www.nubelo.com/proyecto/poner-en-marcha-pagina-web-con-plantilla-de-woocommerce,"15 días
                      ","1 mes, 1 día y 7 horas
       ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ","PUBLIGRAFIC LEVANTE S,L.U ",España                ,"
              Hola, necesitamos experto en woocommerce para la instalación y configuración de una plantilla que nos gusta, ademas de configurar la pagina y llevar el mantenimiento de la pagina web. Seria la instalación y la programación de algunos requisitos que se precisan.            ",""
"Diseñador
                ",http://www.nubelo.com/proyecto/disenador-1752,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",independiente ,Panama                ,"
              Quiero propuesta para la creación de un logo. El logo es para una empresa turistica.Los colores a usar son: azul, amarillo y gris. La propuesta que me vayan a realizar quiero que hagan combinación en estos 3 colores, para poder dicidirme por una.El nombre es: Te con te tours            ",""
"Diseños gráficos e ilustraciones para decorar linea de ropa sustentable
                ",http://www.nubelo.com/proyecto/disenos-graficos-e-ilustraciones-para-decorar-linea-de-ropa-sustentable,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Kol**** ,Mexico                ,"
              Desarrollo de propuestas de arte gráfico mexicano moderno, para decorar prendas de vestir casual bajo concepto sustentable, desde Tees, Hoodies, Henleys, etc. Colecciones de 30 prendas por temporada tanto para Dama como para Caballero.            ",""
"Google Adwors + Landing
                ",http://www.nubelo.com/proyecto/google-adwors-landing-2,"15 días
                      ","14 días
                      ","proyecto freelance
           ","España, Buenos Aires
         ","sin especificar
              ","Senior (6-10 años)
                     ",Juan Flores Larrea ,España                ,"
              Posicionamiento en Google + Campaña de AdWordsMejorar la comunicación con nuestros clientes.Comunicar mejor nuestros trabajosPerfeccionar y potenciar las herramientas actualesGenerar nuevos clientes + generar mas ventasLlamada a la accion            ",""
"Desarrollo Front-end / Full Stack
                ",http://www.nubelo.com/proyecto/desarrollo-front-end-full-stack,"15 días
                      ","14 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Pup**** ,España                ,"
              Buscamos desarrollador front-end / full stack para colaborar en proyectos de manera freelance. Somos un equipo de diseñadores freelance basados en España y queremos tener uno/varios desarrolladores con los que trabajar en nuestros proyectos. Nuestro primer proyecto se trata del desarrollo del rediseño de nuestra web. Generalmente hemos trabajado con modificaciones de estilo de plantillas de wordpress, pero queremos, en este caso, desarrollar un prototipo que estamos trabajando en invision para wordpress+woocommerce o bien un cms a medida.Características del sitio web:- Responsive- E-commerce (hasta ahora hemos utilizado wp+woocommerce)- Secciones: home, about, contacto, proyectos, proyecto en detalle, tienda (tienda, carrito, checkout), productoQuedamos atentos a rangos presupuestarios de ofertas y portafolios.Podemos proporcionar por el momento referentes para su revisión y presupuestado.             ",""
"Desarrollador PHP
                ",http://www.nubelo.com/proyecto/desarrollador-php-274,"16 días
                      ","13 días
                      ","proyecto freelance
           ","Venezuela, Caracas
           ","sin especificar
              ","Junior (
                               ",Nubelo ,Venezuela                ,"
              Empresa de Venta Directa busca profesional con los siguientes requisitos:Aptitudes y capacidades requeridas:Excluyentes:Conocimiento y experiencia avanzados en Desarrollo de PHP POO.Conocimiento y experiencia avanzados en el manejo de base de datos MySQL, lenguaje SQLConocimiento y experiencia avanzados Javascript, CSS, HTML5.No Excluyentes:Conocimiento y experiencia Laravel v5.1Conocimiento y experiencia en XML, JQuery, Angular v1, Bower, Grunt, GulpBootstrap v3 +Motor de Base de datos Oracle v11g +Otros datos: Experiencia mínima 1 (un) añoSexo: IndistintoEdad: 22 a 35 añosNivel de educación requerido: Técnico, Terciario o UniversitarioFormación/ conocimientos requeridos/ idiomas: ingles técnico (no excluyente)Manejo de herramientas informáticas:IDEs: phpStorm, NetBeans, EclipseControl de Versiones: GitTesting:Javascript : Jasmine, KarmaPHP: CodeceptionResponsabilidades: Interpretar y Desarrollar las necesidades de cada sector de la Empresa siguiendo los procesos de Desarrollo establecidos por el responsable.Expectativas: Adaptación al trabajo en equipo y por objetivos en los tiempos requeridos por la Empresa, capacidad para planificar y organizarse con las prioridades, Proactivo, con iniciativa para dar soluciones creativas e inovadoras.Horarios de trabajo: 7 a 13 y 14 a 16 hs (no restrictivo)            ",""
"Traducción al Español 3
                ",http://www.nubelo.com/proyecto/traduccion-al-espanol-3,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",Touch Screen ,Chile                ,"
              Se requiere traducir en el primer archive el texto de la columna Value exclusivamente.Se deben conservar los caracteres especiales que aparecen en el caso qye haya y dejar tal cual con la traducción que le sigue.En el archivo 2 traducir la columna EnglishIndicar precio por el total del trabajo, no por palabra Traducción del: RusoTraducción al: RusoCantidad de palabras: De 500 a 1000Tipo de documento a traducir: Marketing            ",""
"Redactores de contenidos para trabajos academicos 
                ",http://www.nubelo.com/proyecto/redactores-de-contenidos-para-trabajos-academicos-,"16 días
                      ","13 días
                      ","proyecto freelance
           ","Venezuela, Caracas
           ","sin especificar
              ","Intermedio (3-5 años)
                  ",Mi titulo ya Ecuador ,Venezuela                ,"
              Redaccion de trabajos academicosAplicacion de normas apaElaboracion de curriculumsElaboracion de ensayosResumen de textosNormas APASe requiere redactores con experiencia en elaboracion de trabajos academicos, que desde casa se dediquen a la colaboracion con el equipo central de investigacion. Conocimientos de paquetes informaticos. Que sean amantes de la investigacion y la lectura.            ",""
"Estudio de marca y redes sociales
                ",http://www.nubelo.com/proyecto/estudio-de-marca-y-redes-sociales,"16 días
                      ","13 días
                      ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Senior (6-10 años)
                     ",Raul ,España                ,"
              Necesitamos hacer un estudio de marca y redes sociales, ‘mapa conversacional’ que incluyan estos puntos y los queconsidere necesarios el profesional realice el trabajo: Analisis de sus redes actuales durante los últimos seis meses Análisis para face, Linkedin, you tube y twitter ¿Qué se dice de la marca? ¿y sus de productos? ¿Quién lo dice? ¿Cómo? ¿cuándo? ¿Competencia? Cómo está posicionado respecto a la competencia Benchmark nacional ¿Quienes son los influencer de este sector?            ",""
"Desarrollo de sistema para Digital Signage (APP y Back-End)
                ",http://www.nubelo.com/proyecto/desarrollo-de-sistema-para-digital-signage-app-y-back-end,"16 días
                      ","13 días
                      ","proyecto freelance
           ","Colombia, Medellín
           ","sin especificar
              ","Junior (
                               ",AG Media ,Colombia                ,"
              Actualmente me encuentro iniciando una Start-up la cual se involucra con los medios digitales, y requiero de muy buenos desarrolladores que tengan experiencia en desarrollo de APPs multiplataforma y Back-end web.El proyecto se trata de desarrollar una APP para android y windows IOT, y desarrollar un Back-End Web desde el cual se programara y se controlara la APP por medio de WebSocket, este es un sistema para señalización digital el cual se usara en Aeropuertos, supermercados, Cines, etc.Espero recibir propuestas principalmente de desarrolladores que ese encuentren en medellin.los contactare personalmente y les haré saber los requerimientos.Muchas Gracias.            ",""
"Diseñador/a Grafico con Conocimientos de WordPress
                ",http://www.nubelo.com/proyecto/disenadora-grafico-con-conocimientos-de-wordpress,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Multi-PC Argentina SRL. ,Argentina                ,"
              Buscamos un/a DG Freelance,  que tenga conocimientos en Word Press (excluyente)De esta forma, poder asistirnos en todo lo relativo a la actualización de material digital (folletos, catálogos, newsletters). Así tambien en las modificaciones que tenemos regularmente en nuestra nueva pagina en wordpress: Nos inclinamos por un DG con trabajos y experiencia en el area de tecnología, informática, IT. Buscamos que la persona con la cual vayamos a trabajar, tenga un conocimiento del lenguaje que se usa en estas áreas.Enviar PortFolio.             ",""
"crear un flyer de tamaño A5
                ",http://www.nubelo.com/proyecto/crear-un-flyers-de-tamano-a5,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",INMELA SERVICIOS ,España                ,"
                Crear un flyer de tamaño A5 para la apertura de una nueva tienda con oferta de productos y informando de la nueva tienda.En este flyer tiene que aparecer:Queremos realizar una campaña de buzoneo donde aparezca esta informacion:. Ubicacion de la nueva tienda ( la tienda es una oficina de atencion al cliente de ENDESA). Oferta de productos y servicios que podemos ofrecer ademas de las gestiones administrativas para ENDESA .Nuestros servicios adicionales son:. Mantenimientos e Instaciones de Electricidad y de Gas. Venta de equipaciones e instaciones de aire Acondicionado y Calefacción.. Boletines y Cerrtificados Electricos y de Gas.En este flyers incorporaremos un cupon con regalo seguro y un cupon con descuento por la compra de un Aire Acondicionado o una Caldera.            ",""
"Redactor SEO
                ",http://www.nubelo.com/proyecto/redactor-seo-9,"16 días
                      ","13 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",tienda de cosmética ,España                ,"
              Optimización de textos de productos y categorías de tienda online de cosmética, para mejorar posicionamiento orgánico en buscadores en un sector con grandes marcas como competencia. Disponemos de unas 100 categorías de producto y más de 3000 productos, por lo que buscamos una relación laboral a largo plazo, ya que además de optimizar los productos actuales, mensualmente añadimos entre 20 y 50 productos nuevos.            ",""
